curves
718	1	(-6.3316800000000004, 53.377400000000002)
1378	1	(-6.4242800000000004, 53.412700000000001)
2893	3	(-6.24498, 53.386499999999998) (-6.2457699999999994, 53.387300000000003) (-6.2465900000000003, 53.387799999999999)
6605	8	(-6.2989800000000002, 53.347200000000001) (-6.2959500000000004, 53.346699999999998) (-6.2959500000000004, 53.346699999999998) (-6.2923999999999998, 53.347000000000001) (-6.2923999999999998, 53.347000000000001) (-6.2923999999999998, 53.347000000000001) (-6.2923999999999998, 53.347000000000001) (-6.2923999999999998, 53.347000000000001)
5273	5	(-6.2050999999999998, 53.364899999999999) (-6.2048100000000002, 53.365099999999998) (-6.2050999999999998, 53.364899999999999) (-6.2050800000000006, 53.364899999999999) (-6.2050800000000006, 53.364899999999999)
1707	2	(-6.2555199999999997, 53.334600000000002) (-6.25685, 53.335900000000002)
6639	7	(-6.1348599999999998, 53.294800000000002) (-6.13584, 53.292400000000001) (-6.13584, 53.292400000000001) (-6.1355000000000004, 53.2928) (-6.1355000000000004, 53.2928) (-6.1355000000000004, 53.2928) (-6.1350300000000004, 53.293199999999999)
1230	4	(-6.43642, 53.391500000000001) (-6.43642, 53.391500000000001) (-6.4364300000000005, 53.391500000000001) (-6.4364300000000005, 53.391500000000001)
528	3	(-6.2919700000000001, 53.346400000000003) (-6.2913300000000003, 53.346600000000002) (-6.2911800000000007, 53.346899999999998)
6984	1	(-6.2339500000000001, 53.370800000000003)
4671	2	(-6.27217, 53.4024) (-6.27217, 53.4024)
2267	6	(-6.2179900000000004, 53.305500000000002) (-6.2179900000000004, 53.305500000000002) (-6.2175000000000002, 53.309600000000003) (-6.2175000000000002, 53.309600000000003) (-6.2175000000000002, 53.309600000000003) (-6.2019000000000002, 53.293399999999998)
2299	1	(-6.2550800000000004, 53.348199999999999)
1932	8	(-6.2780500000000004, 53.416899999999998) (-6.2780500000000004, 53.416899999999998) (-6.2767800000000005, 53.416800000000002) (-6.2767800000000005, 53.416800000000002) (-6.2776500000000004, 53.416699999999999) (-6.2776500000000004, 53.416699999999999) (-6.2785699999999993, 53.416899999999998) (-6.2776500000000004, 53.416600000000003)
3774	1	(-6.3142800000000001, 53.279400000000003)
394	4	(-6.2681800000000001, 53.291800000000002) (-6.2699699999999998, 53.292000000000002) (-6.2769500000000003, 53.293999999999997) (-6.2769500000000003, 53.293999999999997)
2495	3	(-6.2921300000000002, 53.346800000000002) (-6.2920999999999996, 53.346899999999998) (-6.2920999999999996, 53.346899999999998)
3585	5	(-6.2564000000000002, 53.3459) (-6.2564000000000002, 53.3459) (-6.2564000000000002, 53.3459) (-6.2515700000000001, 53.345700000000001) (-6.2532300000000003, 53.345799999999997)
5180	5	(-6.2747800000000007, 53.360799999999998) (-6.2747800000000007, 53.360799999999998) (-6.2747800000000007, 53.360799999999998) (-6.2747800000000007, 53.360799999999998) (-6.2747800000000007, 53.360799999999998)
5550	3	(-6.1334499999999998, 53.295099999999998) (-6.1334499999999998, 53.295099999999998) (-6.1334499999999998, 53.295099999999998)
4876	1	(-6.3263800000000003, 53.271099999999997)
4970	1	(-6.2169800000000004, 53.306699999999999)
6482	2	(-6.2608300000000003, 53.360100000000003) (-6.2587999999999999, 53.3917)
4622	3	(-6.2275800000000006, 53.368499999999997) (-6.2275700000000001, 53.368600000000001) (-6.2275700000000001, 53.368600000000001)
1292	4	(-6.2435700000000001, 53.332700000000003) (-6.2179099999999998, 53.305500000000002) (-6.2437500000000004, 53.333399999999997) (-6.2180499999999999, 53.305500000000002)
1462	3	(-6.2784699999999996, 53.405000000000001) (-6.2810000000000006, 53.4026) (-6.2658899999999997, 53.416899999999998)
186	1	(-6.3972199999999999, 53.393300000000004)
878	1	(-6.2508300000000006, 53.339500000000001)
1895	4	(-6.2366800000000007, 53.333999999999996) (-6.2373699999999994, 53.335099999999997) (-6.2376500000000004, 53.335500000000003) (-6.1536599999999995, 53.288499999999999)
436	2	(-6.2919800000000006, 53.346699999999998) (-6.2919800000000006, 53.346699999999998)
6978	3	(-6.2359200000000001, 53.371499999999997) (-6.2373799999999999, 53.372) (-6.2356600000000002, 53.3703)
6132	9	(-6.2172700000000001, 53.288800000000002) (-6.21976, 53.288899999999998) (-6.2217799999999999, 53.288999999999994) (-6.2238499999999997, 53.289099999999998) (-6.2238499999999997, 53.289099999999998) (-6.2238499999999997, 53.289099999999998) (-6.2238499999999997, 53.289099999999998) (-6.2255799999999999, 53.288999999999994) (-6.2091199999999995, 53.283499999999997)
6800	6	(-6.0970699999999995, 53.077399999999997) (-6.0970699999999995, 53.077399999999997) (-6.0970699999999995, 53.077399999999997) (-6.0970699999999995, 53.077399999999997) (-6.0970699999999995, 53.077399999999997) (-6.0970699999999995, 53.077399999999997)
3059	2	(-6.2986300000000002, 53.389400000000002) (-6.2986300000000002, 53.389400000000002)
2704	4	(-6.27705, 53.377699999999997) (-6.2742500000000003, 53.377099999999999) (-6.2708699999999995, 53.376100000000001) (-6.27461, 53.419699999999999)
5077	4	(-6.2558999999999996, 53.3491) (-6.2555500000000004, 53.349200000000003) (-6.2555199999999997, 53.349200000000003) (-6.2555199999999997, 53.349200000000003)
5688	2	(-6.3929800000000006, 53.3508) (-6.3956099999999996, 53.3523)
611	1	(-6.2584499999999998, 53.345799999999997)
3062	6	(-6.24207, 53.428100000000001) (-6.2420499999999999, 53.428100000000001) (-6.24207, 53.428100000000001) (-6.2420800000000005, 53.428100000000001) (-6.2420800000000005, 53.428100000000001) (-6.2420800000000005, 53.428100000000001)
1006	1	(-6.40205, 53.279299999999999)
6331	2	(-6.2971500000000002, 53.351100000000002) (-6.2978899999999998, 53.351999999999997)
6943	3	(-6.23705, 53.3718) (-6.2363200000000001, 53.370899999999999) (-6.2327599999999999, 53.370399999999997)
6177	10	(-6.2637300000000007, 53.400199999999998) (-6.2639500000000004, 53.3962) (-6.2638999999999996, 53.397500000000001) (-6.2639800000000001, 53.395699999999998) (-6.2639800000000001, 53.395699999999998) (-6.2639300000000002, 53.394300000000001) (-6.2637199999999993, 53.392699999999998) (-6.2637199999999993, 53.392299999999999) (-6.2645, 53.389400000000002) (-6.2646199999999999, 53.389299999999999)
2914	1	(-6.2420000000000009, 53.342799999999997)
7482	10	(-6.2536100000000001, 53.350000000000001) (-6.2519900000000002, 53.349400000000003) (-6.2519900000000002, 53.349400000000003) (-6.25061, 53.350499999999997) (-6.2483500000000003, 53.353200000000001) (-6.2455999999999996, 53.355699999999999) (-6.23942, 53.360199999999999) (-6.2362299999999999, 53.362900000000003) (-6.2362299999999999, 53.362900000000003) (-6.2352999999999996, 53.363300000000002)
2770	1	(-6.1782000000000004, 53.302500000000002)
1157	6	(-6.2558699999999998, 53.348999999999997) (-6.2558699999999998, 53.348999999999997) (-6.2558300000000004, 53.3489) (-6.2558499999999997, 53.348999999999997) (-6.2558499999999997, 53.348999999999997) (-6.2558499999999997, 53.348999999999997)
3069	1	(-6.2422199999999997, 53.427799999999998)
1905	4	(-6.2296800000000001, 53.328600000000002) (-6.2296800000000001, 53.328600000000002) (-6.22973, 53.328600000000002) (-6.1536599999999995, 53.288499999999999)
5137	4	(-6.2511700000000001, 53.459600000000002) (-6.2511700000000001, 53.459600000000002) (-6.25115, 53.459600000000002) (-6.25115, 53.459600000000002)
543	3	(-6.1669300000000007, 53.270899999999997) (-6.1669300000000007, 53.270899999999997) (-6.1669300000000007, 53.270899999999997)
644	1	(-6.2601699999999996, 53.344299999999997)
1933	1	(-6.2706300000000006, 53.4178)
2622	3	(-6.2374300000000007, 53.383200000000002) (-6.2390999999999996, 53.381100000000004) (-6.2173499999999997, 53.384300000000003)
1758	3	(-6.2290300000000007, 53.386000000000003) (-6.1837599999999995, 53.360300000000002) (-6.1885300000000001, 53.359099999999998)
3793	1	(-6.2562199999999999, 53.348100000000002)
2722	3	(-6.2773500000000002, 53.416400000000003) (-6.2773500000000002, 53.416400000000003) (-6.2773500000000002, 53.416400000000003)
287	1	(-6.2552500000000002, 53.3489)
869	1	(-6.2512499999999998, 53.339599999999997)
6241	3	(-6.3918699999999999, 53.394100000000002) (-6.3936999999999999, 53.393000000000001) (-6.3936999999999999, 53.393000000000001)
5811	1	(-6.2300500000000003, 53.354500000000002)
4946	1	(-6.2579999999999991, 53.342399999999998)
5483	1	(-6.1865500000000004, 53.389400000000002)
2733	3	(-6.3080300000000005, 53.316200000000002) (-6.2653400000000001, 53.325000000000003) (-6.26553, 53.323300000000003)
7411	1	(-6.2501499999999997, 53.339199999999998)
6105	5	(-6.25617, 53.348100000000002) (-6.2561499999999999, 53.348100000000002) (-6.2561300000000006, 53.348100000000002) (-6.2561499999999999, 53.348100000000002) (-6.2561499999999999, 53.348100000000002)
3372	1	(-6.2479800000000001, 53.271799999999999)
1202	8	(-6.2577199999999999, 53.347900000000003) (-6.2577199999999999, 53.347900000000003) (-6.2577199999999999, 53.347900000000003) (-6.2577199999999999, 53.347900000000003) (-6.2577199999999999, 53.347900000000003) (-6.2577199999999999, 53.347900000000003) (-6.2577199999999999, 53.347900000000003) (-6.3732600000000001, 53.286099999999998)
6686	1	(-6.1185199999999993, 53.500100000000003)
4343	3	(-6.3260300000000003, 53.377299999999998) (-6.3260300000000003, 53.377299999999998) (-6.2665699999999998, 53.354100000000003)
4823	1	(-6.4271799999999999, 53.290599999999998)
6703	1	(-6.3100199999999997, 53.279400000000003)
2906	4	(-6.21828, 53.308900000000001) (-6.2182199999999996, 53.305399999999999) (-6.2181100000000002, 53.308999999999997) (-6.2183999999999999, 53.305300000000003)
2198	1	(-6.2558800000000003, 53.348100000000002)
